voter1  RICHMOND ROMAN 24  M 45675
voter2  RICHARDSON MARIANNE 86  F 45677
voter3  ROLLINS DELORIS 77  F 45674
voter4  HANSON DORTHY 74  F 45674
voter5  ALVAREZ TOBY 63  M 45677
voter6  GIBSON ROBIN 46  M 45675
voter7  HENDRIX ROLF 30  M 45676
voter8  KELLY JONAH 50  M 45674
voter9  DOTSON DELIA 56  F 45676
voter10  SKINNER AVERY 54  M 45675
voter11  BUTLER STEVEN 65  M 45675
voter12  GILES SARA 78  F 45674
voter13  STOUT ELIJAH 71  M 45675
voter14  WOLF ANITA 44  F 45676
voter15  ONEAL MARTHA 55  F 45675
voter16  MELTON VINCENT 73  M 45677
voter17  HOOD STEVIE 77  M 45676
voter18  PATTERSON KIMBERLY 33  F 45676
voter19  KENT HORACIO 41  M 45674
voter20  DAVIDSON JEAN 26  M 45674
